algorithm,version,coverage,metric
casanovo,5.0.0,"[5.53703724211249e-06, 0.004479463128869004, 0.008958926257738009, 0.013438389386607014, 0.017917852515476018, 0.022397315644345023, 0.026876778773214028, 0.03135624190208303, 0.035835705030952035, 0.040315168159821044, 0.04478909425144793, 0.04926855738031694, 0.053748020509185944, 0.05822748363805495, 0.06270694676692395, 0.06718640989579296, 0.07166587302466196, 0.07614533615353097, 0.08062479928239998, 0.08509872537402687, 0.08957818850289587, 0.09405765163176487, 0.09853711476063388, 0.10301657788950289, 0.10749604101837189, 0.11197550414724089, 0.1164549672761099, 0.12093443040497891, 0.12540835649660578, 0.1298878196254748, 0.13436728275434381, 0.1388467458832128, 0.14332620901208182, 0.14780567214095083, 0.15228513526981982, 0.15676459839868884, 0.16124406152755782, 0.16571798761918471, 0.17019745074805373, 0.17467691387692275, 0.17915637700579173, 0.18363584013466075, 0.18811530326352974, 0.19259476639239875, 0.19707422952126777, 0.20155369265013676, 0.20602761874176365, 0.21050708187063266, 0.21498654499950168, 0.21946600812837067, 0.22394547125723968, 0.22842493438610867, 0.23290439751497768, 0.2373838606438467, 0.2418633237727157, 0.24633724986434258, 0.25081671299321157, 0.2552961761220806, 0.2597756392509496, 0.2642551023798186, 0.26873456550868763, 0.2732140286375566, 0.2776934917664256, 0.28217295489529465, 0.28664688098692154, 0.2911263441157905, 0.2956058072446595, 0.30008527037352856, 0.30456473350239754, 0.30904419663126653, 0.3135236597601355, 0.31800312288900456, 0.32248258601787355, 0.32695651210950044, 0.33143597523836943, 0.3359154383672385, 0.34039490149610746, 0.34487436462497645, 0.3493538277538455, 0.3538332908827145, 0.35831275401158347, 0.3627922171404525, 0.3672661432320794, 0.3717456063609484, 0.3762250694898174, 0.3807045326186864, 0.3851839957475554, 0.3896634588764244, 0.3941429220052934, 0.3986223851341624, 0.4031018482630314, 0.4075757743546583, 0.4120552374835273, 0.41653470061239634, 0.4210141637412653, 0.4254936268701343, 0.42997308999900336, 0.43445255312787234, 0.43893201625674133, 0.4434114793856104, 0.44788540547723726, 0.45236486860610625, 0.45684433173497524, 0.4613237948638442, 0.46580325799271327, 0.47028272112158226, 0.47476218425045125, 0.4792416473793203, 0.4837211105081893, 0.48819503659981617, 0.49267449972868516, 0.4971539628575542, 0.5016334259864231, 0.5061128891152922, 0.5105923522441612, 0.5150718153730302, 0.5195512785018992, 0.5240307416307682, 0.5285046677223951, 0.5329841308512641, 0.5374635939801331, 0.5419430571090021, 0.5464225202378711, 0.5509019833667401, 0.5553814464956092, 0.5598609096244781, 0.5643403727533471, 0.568814298844974, 0.5732937619738431, 0.577773225102712, 0.582252688231581, 0.5867321513604501, 0.591211614489319, 0.5956910776181881, 0.6001705407470571, 0.604650003875926, 0.6091239299675529, 0.613603393096422, 0.618082856225291, 0.62256231935416, 0.627041782483029, 0.631521245611898, 0.636000708740767, 0.640480171869636, 0.644959634998505, 0.6494335610901318, 0.6539130242190009, 0.6583924873478699, 0.6628719504767389, 0.6673514136056079, 0.671830876734477, 0.6763103398633459, 0.6807898029922149, 0.685269266121084, 0.6897431922127109, 0.6942226553415798, 0.6987021184704488, 0.7031815815993179, 0.7076610447281868, 0.7121405078570558, 0.7166199709859249, 0.7210994341147938, 0.7255788972436629, 0.7300528233352898, 0.7345322864641588, 0.7390117495930277, 0.7434912127218968, 0.7479706758507658, 0.7524501389796348, 0.7569296021085038, 0.7614090652373728, 0.7658885283662418, 0.7703624544578687, 0.7748419175867377, 0.7793213807156067, 0.7838008438444757, 0.7882803069733447, 0.7927597701022137, 0.7972392332310827, 0.8017186963599517, 0.8061981594888207, 0.8106720855804476, 0.8151515487093166, 0.8196310118381857, 0.8241104749670546, 0.8285899380959236, 0.8330694012247927, 0.8375488643536616, 0.8420283274825306, 0.8465077906113997, 0.8509817167030266, 0.8554611798318955, 0.8599406429607646, 0.8644201060896336, 0.8688995692185025, 0.8733790323473716, 0.8778584954762406, 0.8823379586051096, 0.8868174217339786, 0.8912968848628476]","[0.0685508483093242, 0.06681907433441528, 0.06647330358602102, 0.06253693766008711, 0.057862881539007656, 0.05433528356472672, 0.05248985656366678, 0.05449625999725764, 0.05666783325345047, 0.05800206174265975, 0.05993588729626348, 0.061073097913839344, 0.06349481997275902, 0.06507692372805614, 0.062329491714509515, 0.06000941062978207, 0.058637698691413914, 0.05627637050932439, 0.05596552251392067, 0.05843594426813582, 0.05890895266474804, 0.05670908464587639, 0.05605680634041829, 0.055244774348364084, 0.054052607394800424, 0.05369872680970382, 0.05243472703984768, 0.05187027436334661, 0.05244453121258959, 0.05232105280518914, 0.05321560051750657, 0.05453855279126633, 0.05371988314664155, 0.05350706918844998, 0.05318594587370741, 0.05488951153953917, 0.05765008040015768, 0.05754140832671188, 0.0563636064167969, 0.056241739461505465, 0.05658397148904121, 0.05741895401740719, 0.05810445913861297, 0.056926333225831266, 0.056987784198484936, 0.05572922818992267, 0.056954067069192246, 0.05571877473405679, 0.056385794039378184, 0.05711438347099094, 0.05822969743592573, 0.057519504014224274, 0.05808733656351667, 0.058850125742208596, 0.05974678053043146, 0.05959240701670065, 0.05970537078014169, 0.059997974102836304, 0.06004372424431596, 0.06075673027651664, 0.060435110926302014, 0.06089231244268753, 0.05997242995274054, 0.06056726134959072, 0.05999619746063787, 0.060974172596686575, 0.06070168991723982, 0.06281349712252614, 0.06523491910350843, 0.0660627637912809, 0.06542887076797452, 0.06695334991526666, 0.06561440983871773, 0.0670532298521335, 0.06559294457969977, 0.06644083132725849, 0.06871392228113261, 0.07324780234776429, 0.07489391381088673, 0.07438370503012831, 0.07455206603845421, 0.07486337762578509, 0.0747999038129176, 0.07513776300893418, 0.07759140480956246, 0.07862268016365853, 0.07842546830227896, 0.07877998957420942, 0.07882656524022767, 0.08066986996423575, 0.08398999084711907, 0.08568221721054137, 0.08528649239870181, 0.08739986138639885, 0.08877356472246226, 0.0905331983127575, 0.09225412253253631, 0.09589546575425223, 0.09708274416850565, 0.09826935571501985, 0.0981886330870953, 0.09721329958903631, 0.09572455835067097, 0.09322546577926212, 0.09539461242530115, 0.09646825421869566, 0.09869118606561582, 0.10042845732838637, 0.10207913823475528, 0.10544309459936402, 0.10596284959912868, 0.1075483839677811, 0.10196413756338174, 0.10420641059959665, 0.1053662149715231, 0.10465854968176624, 0.10430147850148909, 0.10443462641614258, 0.10689548897920306, 0.1089990216485141, 0.10731033200555484, 0.1054072017464199, 0.10735797637113526, 0.1078645311348404, 0.11185185235765621, 0.11101362182131502, 0.11230580819685287, 0.11223536933908994, 0.11438154940901346, 0.11133369868617755, 0.11118585863410593, 0.11379255032785629, 0.11364738764443773, 0.11381126639344438, 0.11063175599108899, 0.11118491221762886, 0.11118417515876249, 0.10899219251422437, 0.1098020471217436, 0.11088187594005824, 0.11536798554219284, 0.11770863030855366, 0.11701854415912334, 0.11546692425255446, 0.11671240137409833, 0.11446511960603636, 0.1089935711148716, 0.1104832356130487, 0.11090518899203533, 0.11473720168074283, 0.11346432203767229, 0.11515502583630782, 0.11248038193126314, 0.11419921908079896, 0.11367241460180127, 0.11156843249351983, 0.11179472466785126, 0.11252712108458568, 0.11523654797673195, 0.11493177872146243, 0.11264509541987575, 0.11155334636606165, 0.11115100086140206, 0.11011731706307812, 0.1108648094730686, 0.11057819603174388, 0.1123784432050832, 0.11248502944943313, 0.11175779193282404, 0.10918598183097428, 0.11122995129410787, 0.11293673494798182, 0.11371806926071118, 0.1139821168915542, 0.11429702082482662, 0.1129651943446755, 0.11350053593349567, 0.11257270639703529, 0.1100587214131091, 0.10928223309246694, 0.10847472406847339, 0.10846331456103794, 0.1089298589967144, 0.10951156905063394, 0.10813160865776811, 0.10914304694337401, 0.10878711656873931, 0.10509849557065545, 0.10827470122296401, 0.11033740694532049, 0.11043140620950886, 0.10735556683269101, 0.1072279645257975, 0.10663202815358597, 0.10444770659858377, 0.10438314567480453, 0.10388233918112005, 0.10693589826029434, 0.10695191645504461, 0.10773909745849129]"
adanovo,bm-1.0.0,"[5.53703724211249e-06, 0.004872592773058991, 0.009745185546117982, 0.014617778319176974, 0.019484834054993853, 0.024357426828052847, 0.029230019601111837, 0.03409707533692872, 0.038969668109987705, 0.0438422608830467, 0.04870931661886358, 0.05358190939192257, 0.05845450216498156, 0.06332155790079844, 0.06819415067385744, 0.07306674344691642, 0.07793933621997541, 0.0828063919557923, 0.08767898472885129, 0.09255157750191027, 0.09741863323772716, 0.10229122601078615, 0.10716381878384514, 0.11203087451966202, 0.11690346729272101, 0.12177606006578, 0.12664311580159687, 0.13151570857465586, 0.13638830134771487, 0.14125535708353174, 0.14612794985659072, 0.15100054262964974, 0.15587313540270872, 0.16074019113852558, 0.1656127839115846, 0.17048537668464359, 0.17535243242046045, 0.18022502519351946, 0.18509761796657845, 0.1899646737023953, 0.19483726647545432, 0.1997098592485133, 0.20457691498433017, 0.2094495077573892, 0.21432210053044817, 0.21918915626626503, 0.22406174903932405, 0.22893434181238304, 0.23380693458544202, 0.2386739903212589, 0.2435465830943179, 0.24841917586737688, 0.25328623160319375, 0.25815882437625276, 0.2630314171493117, 0.26789847288512864, 0.2727710656581876, 0.2776436584312466, 0.28251071416706347, 0.2873833069401225, 0.29225589971318144, 0.29712295544899836, 0.3019955482220573, 0.30686814099511633, 0.31174073376817535, 0.3166077895039922, 0.32148038227705117, 0.3263529750501102, 0.33122003078592704, 0.33609262355898606, 0.3409652163320451, 0.34583227206786193, 0.3507048648409209, 0.3555774576139799, 0.36044451334979677, 0.3653171061228558, 0.3701896988959148, 0.37506229166897376, 0.3799293474047906, 0.38480194017784963, 0.38967453295090865, 0.3945415886867255, 0.3994141814597845, 0.4042867742328435, 0.40915382996866034, 0.41402642274171936, 0.4188990155147784, 0.42376607125059523, 0.42863866402365425, 0.4335112567967132, 0.43837831253253007, 0.4432509053055891, 0.4481234980786481, 0.45299609085170706, 0.457863146587524, 0.46273573936058293, 0.46760833213364195, 0.4724753878694588, 0.4773479806425178, 0.4822205734155768, 0.4870876291513937, 0.49196022192445266, 0.49683281469751167, 0.5016998704333285, 0.5065724632063875, 0.5114450559794466, 0.5163121117152634, 0.5211847044883224, 0.5260572972613814, 0.5309298900344404, 0.5357969457702573, 0.5406695385433162, 0.5455421313163752, 0.5504091870521921, 0.5552817798252511, 0.5601543725983101, 0.5650214283341269, 0.569894021107186, 0.574766613880245, 0.5796336696160619, 0.5845062623891208, 0.5893788551621798, 0.5942459108979967, 0.5991185036710557, 0.6039910964441146, 0.6088636892171737, 0.6137307449529905, 0.6186033377260496, 0.6234759304991085, 0.6283429862349255, 0.6332155790079844, 0.6380881717810434, 0.6429552275168603, 0.6478278202899193, 0.6527004130629782, 0.6575674687987951, 0.6624400615718541, 0.6673126543449132, 0.6721852471179721, 0.677052302853789, 0.681924895626848, 0.686797488399907, 0.6916645441357239, 0.6965371369087828, 0.7014097296818418, 0.7062767854176587, 0.7111493781907177, 0.7160219709637767, 0.7208890266995935, 0.7257616194726526, 0.7306342122457116, 0.7355012679815285, 0.7403738607545874, 0.7452464535276464, 0.7501190463007055, 0.7549861020365223, 0.7598586948095812, 0.7647312875826403, 0.7695983433184571, 0.7744709360915162, 0.7793435288645751, 0.7842105846003921, 0.789083177373451, 0.79395577014651, 0.7988228258823269, 0.8036954186553859, 0.8085680114284449, 0.8134350671642617, 0.8183076599373207, 0.8231802527103798, 0.8280528454834387, 0.8329199012192556, 0.8377924939923146, 0.8426650867653735, 0.8475321425011905, 0.8524047352742494, 0.8572773280473085, 0.8621443837831253, 0.8670169765561844, 0.8718895693292433, 0.8767566250650601, 0.8816292178381192, 0.8865018106111782, 0.8913688663469951, 0.896241459120054, 0.901114051893113, 0.9059866446661721, 0.9108537004019889, 0.915726293175048, 0.9205988859481069, 0.9254659416839238, 0.9303385344569828, 0.9352111272300417, 0.9400781829658587, 0.9449507757389176, 0.9498233685119766, 0.9546904242477935, 0.9595630170208524, 0.9644356097939115, 0.9693082025669705]","[0.0543230975629037, 0.05835990936409627, 0.06143395135393188, 0.06143892711899703, 0.05858329408933924, 0.05749702067251046, 0.0579217252364182, 0.05971944455080673, 0.059785257321574, 0.05861268248953659, 0.05895533245856543, 0.06012021795050946, 0.058558889083229745, 0.058723319140933344, 0.060259159811928475, 0.06169503168053994, 0.0607724523338072, 0.05869394832348887, 0.060138634969082075, 0.05990148329910325, 0.05871416984320427, 0.06101036485691029, 0.06435758853525142, 0.06704069770315772, 0.07087284663594312, 0.06860099462615812, 0.06853250146340792, 0.06933677175610212, 0.07343260933098833, 0.07252831351709453, 0.07149346701902345, 0.0739595614158747, 0.07675674123882335, 0.07937432194857272, 0.07937038742051325, 0.08263220270008147, 0.08372211932727233, 0.08473777569522695, 0.08822218606262834, 0.08858939572615779, 0.09092159713543707, 0.0924609788737875, 0.09124581952456544, 0.09284125950597236, 0.09817356531233394, 0.0994401568777787, 0.09665664771648805, 0.0970371729402378, 0.0978957764589934, 0.10193917334733983, 0.10501356219962105, 0.10465514022129313, 0.10646662399117576, 0.10591633125024189, 0.10893500410856266, 0.11017324262878725, 0.1098447807885227, 0.10921581770827726, 0.10858109479355113, 0.1063434763132842, 0.10786002831227047, 0.11172094891670611, 0.11355990572970381, 0.1142933873245379, 0.11520852524891048, 0.11203266589323448, 0.11363838484664593, 0.11373422906058714, 0.11428234585046293, 0.11787350954548062, 0.1192082938924233, 0.11823920326621226, 0.11656960468465583, 0.11651445071701072, 0.11714382322360745, 0.1179858183678456, 0.11699654506482135, 0.11534392063327828, 0.11897803556036682, 0.12073687447962392, 0.12045381945243089, 0.12230454424262151, 0.12418873609605599, 0.12615402826026212, 0.12930889203164864, 0.13591259239164066, 0.13360118312995392, 0.1085990865210523, 0.08468729391641977, 0.09111590045392376, 0.09870663773448327, 0.1009010213886168, 0.10156214278404732, 0.10393465164453666, 0.10784718447857554, 0.10401529441217988, 0.10421269943297057, 0.10387159202245061, 0.10374561117805414, 0.10345443780266986, 0.10724352503209658, 0.10706750206090454, 0.10710524802300367, 0.10976561960235363, 0.11056569847761162, 0.10977559218327493, 0.11006579120828489, 0.11191977325343895, 0.11199624298499417, 0.11249490990859892, 0.11273544093368779, 0.11127890399699875, 0.11255867814475011, 0.11314816491255514, 0.11250044441446785, 0.11102980550911373, 0.11316356763711119, 0.11482087051180767, 0.11402840063456621, 0.11039987227297751, 0.10846808922009116, 0.10960851645544958, 0.11590517414215953, 0.1170479286734041, 0.11598567011451005, 0.1136332442701222, 0.11195463272447445, 0.11349928746507432, 0.11216678939236824, 0.11233597125899686, 0.11320964528131286, 0.11569815590060929, 0.11655143392861686, 0.11498196846915545, 0.11500594032056626, 0.11541956748404056, 0.11422301717582442, 0.11298098687321186, 0.11534936227213664, 0.1166416797621543, 0.1150845032977155, 0.11360807927236301, 0.11513087215671458, 0.11870693648116463, 0.11831102398745241, 0.11458887066723636, 0.11511955520441591, 0.11744709659068514, 0.11797281365314778, 0.11740747411394345, 0.11559342373770287, 0.11519474442784723, 0.11726115381028303, 0.12065623983253282, 0.11805804882270626, 0.1157919819580334, 0.1144738117805807, 0.11566907948711994, 0.11759283480229596, 0.11920772042383956, 0.11716304895348206, 0.11445446615094368, 0.11438985458625794, 0.11689429176842772, 0.113923484738436, 0.1155260397781902, 0.11707042557942854, 0.1162332645843785, 0.11839787326580657, 0.11794339962328526, 0.11683581051847691, 0.11920127367431337, 0.11892406275765349, 0.11551328161564392, 0.11751949104491605, 0.12072366082760375, 0.1206224186970494, 0.1199181426668158, 0.11935786750422528, 0.11870018194454228, 0.12271366528022681, 0.12504754537112256, 0.12413544425082484, 0.11997045006761277, 0.12287675663564016, 0.12083956328769369, 0.12128854861109686, 0.12263430905873365, 0.11959232365487377, 0.11961524593743224, 0.12163661624313692, 0.12333682426251039, 0.12493754637212304, 0.12392734096979285, 0.12660121539746919, 0.13396108408489754, 0.13810885170150014, 0.13863554107433018, 0.14055273187372666, 0.16636114608697933]"
biatNovo-DDA,bm-1.0.0,"[5.53703724211249e-06, 0.004911352033753779, 0.009822704067507558, 0.014728519064019225, 0.019639871097773005, 0.024551223131526783, 0.02945703812803845, 0.03436839016179223, 0.0392742051583039, 0.044185557192057676, 0.049096909225811454, 0.05400272422232312, 0.0589140762560769, 0.06381989125258856, 0.06873124328634235, 0.07364259532009612, 0.0785484103166078, 0.08345976235036157, 0.08837111438411535, 0.09327692938062701, 0.0981882814143808, 0.10309409641089246, 0.10800544844464624, 0.11291680047840001, 0.11782261547491168, 0.12273396750866546, 0.12763978250517713, 0.13255113453893091, 0.1374624865726847, 0.14236830156919636, 0.14727965360295014, 0.1521910056367039, 0.1570968206332156, 0.16200817266696935, 0.16691398766348103, 0.1718253396972348, 0.17673669173098858, 0.18164250672750024, 0.18655385876125402, 0.1914596737577657, 0.19637102579151947, 0.20128237782527325, 0.2061881928217849, 0.2110995448555387, 0.21600535985205035, 0.22091671188580414, 0.22582806391955793, 0.23073387891606958, 0.23564523094982337, 0.24055658298357716, 0.24546239798008881, 0.2503737500138426, 0.25527956501035426, 0.260190917044108, 0.26510226907786183, 0.2700080840743735, 0.27491943610812725, 0.2798252511046389, 0.2847366031383927, 0.2896479551721465, 0.29455377016865814, 0.29946512220241195, 0.3043764742361657, 0.30928228923267737, 0.3141936412664312, 0.31909945626294284, 0.3240108082966966, 0.3289221603304504, 0.33382797532696207, 0.3387393273607158, 0.3436451423572275, 0.3485564943909813, 0.35346784642473505, 0.3583736614212467, 0.36328501345500047, 0.3681908284515122, 0.37310218048526594, 0.3780135325190197, 0.3829193475155314, 0.3878306995492852, 0.39274205158303893, 0.3976478665795506, 0.4025592186133044, 0.40746503360981606, 0.4123763856435698, 0.41728773767732363, 0.4221935526738353, 0.42710490470758905, 0.4320107197041007, 0.4369220717378545, 0.4418334237716083, 0.44673923876811994, 0.45165059080187375, 0.4565619428356275, 0.46146775783213917, 0.466379109865893, 0.47128492486240464, 0.4761962768961584, 0.48110762892991216, 0.48601344392642387, 0.49092479596017763, 0.4958306109566893, 0.500741962990443, 0.5056533150241969, 0.5105591300207085, 0.5154704820544623, 0.520376297050974, 0.5252876490847277, 0.5301990011184815, 0.5351048161149932, 0.540016168148747, 0.5449275201825008, 0.5498333351790125, 0.5547446872127662, 0.5596505022092778, 0.5645618542430316, 0.5694732062767854, 0.5743790212732971, 0.5792903733070509, 0.5841961883035626, 0.5891075403373163, 0.5940188923710701, 0.5989247073675817, 0.6038360594013356, 0.6087474114350893, 0.613653226431601, 0.6185645784653547, 0.6234703934618664, 0.6283817454956202, 0.633293097529374, 0.6381989125258857, 0.6431102645596394, 0.6480160795561511, 0.6529274315899048, 0.6578387836236587, 0.6627445986201703, 0.6676559506539241, 0.6725617656504358, 0.6774731176841895, 0.6823844697179433, 0.687290284714455, 0.6922016367482088, 0.6971129887819626, 0.7020188037784743, 0.706930155812228, 0.7118359708087396, 0.7167473228424934, 0.7216586748762472, 0.7265644898727589, 0.7314758419065127, 0.7363816569030244, 0.7412930089367781, 0.7462043609705319, 0.7511101759670435, 0.7560215280007974, 0.7609328800345511, 0.7658386950310628, 0.7707500470648165, 0.7756558620613282, 0.780567214095082, 0.7854785661288358, 0.7903843811253475, 0.7952957331591012, 0.8002015481556128, 0.8051129001893667, 0.8100242522231205, 0.8149300672196321, 0.8198414192533859, 0.8247472342498976, 0.8296585862836513, 0.8345699383174051, 0.8394757533139168, 0.8443871053476706, 0.8492984573814244, 0.8542042723779361, 0.8591156244116898, 0.8640214394082014, 0.8689327914419552, 0.873844143475709, 0.8787499584722207, 0.8836613105059745, 0.8885671255024862, 0.8934784775362399, 0.8983898295699937, 0.9032956445665054, 0.9082069966002592, 0.9131183486340129, 0.9180241636305245, 0.9229355156642783, 0.92784133066079, 0.9327526826945438, 0.9376640347282976, 0.9425698497248093, 0.947481201758563, 0.9523870167550746, 0.9572983687888285, 0.9622097208225823, 0.9671155358190939, 0.9720268878528477, 0.9769382398866014]","[0.057596102646780244, 0.05965570736211272, 0.06073150754353029, 0.06355119956489308, 0.06766265618947007, 0.06650195454669221, 0.06861564134642267, 0.06973470679446811, 0.06947537153412923, 0.07107329765927949, 0.07304940692940749, 0.07462008642867295, 0.07794083433700232, 0.07807775786998691, 0.08291300492762989, 0.0812363066396723, 0.08096424905936395, 0.0808577538400283, 0.08109180629154793, 0.08337846257858039, 0.08190546621945258, 0.08251130557253605, 0.08382027407417605, 0.0860670852129421, 0.08935735530266586, 0.09072767469324591, 0.08954137098054354, 0.08992854676060916, 0.09085212831754161, 0.0956090379334919, 0.09569154146911901, 0.09494661872627638, 0.0980441601136367, 0.0982899862083856, 0.10017626683882273, 0.10757150493708173, 0.10636717677917792, 0.10410736617172586, 0.104161979640467, 0.1024552575270852, 0.1068988392245993, 0.11088533733112119, 0.11188850000542591, 0.11521569545441783, 0.11378809788933153, 0.1117706078590786, 0.11645238432357251, 0.12004097662576657, 0.12282958905181532, 0.12442657465325518, 0.12410890906194941, 0.12280167199262239, 0.12325410780439457, 0.12221320718033005, 0.12281668642775746, 0.1282855730063261, 0.12762086933995231, 0.132370011218355, 0.1317987043485579, 0.13227465574454816, 0.13345447586425954, 0.13364699321020085, 0.13351614207745088, 0.1345033180616383, 0.1372783628940736, 0.14215748765556568, 0.13984455977570046, 0.1406839168775786, 0.14345902792066456, 0.14577573994839788, 0.14791866115507696, 0.14603615954876292, 0.1433549882586019, 0.14803399624868313, 0.15056800008695198, 0.14866038983613006, 0.15016225854674495, 0.14951930936044616, 0.15240046900268772, 0.15106277992884146, 0.15210671110361723, 0.15205869453931276, 0.15090718162578304, 0.15268576002970102, 0.15078758329162673, 0.15598033240334275, 0.15400306556845506, 0.15125538444740855, 0.15616055359532086, 0.16420405320768583, 0.158764599735149, 0.15630093835375053, 0.1568876122981901, 0.1577114084948, 0.15690905927417478, 0.16105372612546873, 0.16384526784586623, 0.15869363141702808, 0.1609800475877248, 0.1615618192250124, 0.16126427045699127, 0.16101328236279153, 0.16229536365219432, 0.16332478539006862, 0.16358291382852008, 0.16373913344599056, 0.16532737878593218, 0.16627765330913097, 0.167515898915283, 0.16769424217010878, 0.1639106861669007, 0.1644945299284434, 0.16526315745610928, 0.164374613457481, 0.16431782714080573, 0.16865583645186916, 0.17305160445313864, 0.17267547035422337, 0.17357598337683947, 0.17083311405778323, 0.17308959378859984, 0.17326992251009188, 0.16956105653024517, 0.16492252450880507, 0.1694133288778614, 0.1754552556739074, 0.1737286867898945, 0.175636065926039, 0.17681915523217048, 0.17995803844613348, 0.17894884544204975, 0.1773264209280245, 0.17366096573676076, 0.17328665586511185, 0.17506885541811468, 0.177662220936022, 0.17693850730069166, 0.17329154741856206, 0.1733899144394288, 0.17367639769478366, 0.17906336534149558, 0.1819719375351063, 0.17998271900690124, 0.17651764431398165, 0.17505990453774645, 0.18065917773557139, 0.18139081357894188, 0.18205064869677076, 0.18140206715829044, 0.180064609465797, 0.1812929629525798, 0.1816632063907922, 0.18168155130674424, 0.18106981369946953, 0.17985675086959865, 0.17975219889556804, 0.18100577512490978, 0.18401797630654793, 0.18154345485737117, 0.18959550656929214, 0.18519536216687432, 0.18410630216395044, 0.18746668362720084, 0.18919420809072923, 0.18930537674547804, 0.18718890711108935, 0.19109331634759205, 0.1944935604689219, 0.19503035052949202, 0.19313375545061892, 0.19061731332498516, 0.1923184160709314, 0.19335223725664968, 0.19456195679528082, 0.19569122031266722, 0.19381421674435242, 0.1961459953898678, 0.20060385834408817, 0.2020872936895237, 0.20468465552551138, 0.2021478846351505, 0.2015282809004294, 0.19924953492440575, 0.20098322953609268, 0.20629552419725042, 0.20851487244885375, 0.20530056177351352, 0.20215408965133394, 0.20535511310141213, 0.20451907041263429, 0.20285155661597593, 0.20822748170734173, 0.21127423914311833, 0.2084346273449597, 0.2126544602290091, 0.216137181291239, 0.22077330829480274, 0.2346979416701816, 0.2379311875571964, 0.2534057609158017]"
