algorithm,version,coverage,metric
casanovo,5.0.0,"[8.872799545712663e-06, 0.00503087734241908, 0.010052881885292447, 0.015083759227711527, 0.020105763770584893, 0.02512776831345826, 0.030158645655877343, 0.03518065019875071, 0.04020265474162408, 0.045233532084043154, 0.05025553662691652, 0.05527754116978989, 0.06030841851220897, 0.06533042305508234, 0.07035242759795571, 0.07538330494037479, 0.08040530948324816, 0.08542731402612153, 0.09045819136854061, 0.09548019591141398, 0.10050220045428733, 0.10553307779670641, 0.11055508233957978, 0.11557708688245315, 0.12060796422487223, 0.1256299687677456, 0.13066084611016468, 0.13568285065303803, 0.14070485519591142, 0.1457357325383305, 0.15075773708120385, 0.15577974162407723, 0.16081061896649632, 0.16583262350936967, 0.17085462805224305, 0.17588550539466213, 0.1809075099375355, 0.18592951448040887, 0.19096039182282795, 0.1959823963657013, 0.20100440090857466, 0.20603527825099374, 0.21105728279386712, 0.21607928733674048, 0.22111016467915956, 0.22613216922203294, 0.2311541737649063, 0.23618505110732538, 0.24120705565019876, 0.2462290601930721, 0.2512599375354912, 0.2562819420783646, 0.26131281942078366, 0.266334823963657, 0.27135682850653037, 0.27638770584894945, 0.28140971039182283, 0.2864317149346962, 0.2914625922771153, 0.2964845968199886, 0.301506601362862, 0.3065374787052811, 0.31155948324815447, 0.31658148779102785, 0.32161236513344693, 0.32663436967632026, 0.33165637421919364, 0.3366872515616127, 0.3417092561044861, 0.34673126064735943, 0.3517621379897785, 0.3567841425326519, 0.3618061470755253, 0.36683702441794436, 0.37185902896081774, 0.3768899063032368, 0.38191191084611015, 0.38693391538898353, 0.3919647927314026, 0.396986797274276, 0.4020088018171493, 0.4070396791595684, 0.4120616837024418, 0.41708368824531517, 0.42211456558773425, 0.42713657013060763, 0.43215857467348096, 0.43718945201590004, 0.4422114565587734, 0.4472334611016468, 0.4522643384440659, 0.45728634298693926, 0.4623083475298126, 0.4673392248722317, 0.47236122941510506, 0.47738323395797844, 0.4824141113003975, 0.48743611584327085, 0.4924581203861442, 0.4974889977285633, 0.5025110022714366, 0.5075418796138558, 0.5125638841567292, 0.5175858886996025, 0.5226167660420216, 0.527638770584895, 0.5326607751277683, 0.5376916524701874, 0.5427136570130607, 0.5477356615559341, 0.5527665388983533, 0.5577885434412265, 0.5628105479840999, 0.567841425326519, 0.5728634298693924, 0.5778854344122658, 0.5829163117546848, 0.5879383162975582, 0.5929603208404316, 0.5979911981828506, 0.603013202725724, 0.6080352072685974, 0.6130660846110164, 0.6180880891538898, 0.6231100936967632, 0.6281409710391823, 0.6331629755820557, 0.6381938529244747, 0.6432158574673481, 0.6482378620102215, 0.6532687393526405, 0.6582907438955139, 0.6633127484383873, 0.6683436257808063, 0.6733656303236797, 0.6783876348665531, 0.6834185122089722, 0.6884405167518456, 0.6934625212947189, 0.698493398637138, 0.7035154031800114, 0.7085374077228848, 0.7135682850653038, 0.7185902896081772, 0.7236122941510506, 0.7286431714934696, 0.733665176036343, 0.7386871805792163, 0.7437180579216355, 0.7487400624645087, 0.7537709398069279, 0.7587929443498013, 0.7638149488926746, 0.7688458262350937, 0.7738678307779671, 0.7788898353208404, 0.7839207126632595, 0.7889427172061328, 0.7939647217490062, 0.7989955990914254, 0.8040176036342986, 0.809039608177172, 0.8140704855195912, 0.8190924900624645, 0.8241144946053379, 0.829145371947757, 0.8341673764906303, 0.8391893810335037, 0.8442202583759227, 0.8492422629187961, 0.8542642674616695, 0.8592951448040886, 0.8643171493469619, 0.8693391538898353, 0.8743700312322544, 0.8793920357751278, 0.8844229131175468, 0.8894449176604202, 0.8944669222032936, 0.8994977995457126, 0.904519804088586, 0.9095418086314594, 0.9145726859738785, 0.9195946905167518, 0.9246166950596252, 0.9296475724020443, 0.9346695769449177, 0.9396915814877911, 0.9447224588302101, 0.9497444633730835, 0.9547664679159569, 0.9597973452583759, 0.9648193498012493, 0.9698413543441227, 0.9748722316865417, 0.9798942362294151, 0.9849162407722885, 0.9899471181147076, 0.994969122657581, 1.0]","[0.3052675598628778, 0.31277354377793687, 0.3203312802378968, 0.3272080858160183, 0.32830983495309674, 0.32863217854647786, 0.3267952694896316, 0.3252508568862725, 0.32580461636895897, 0.32932249873065256, 0.32861883545282744, 0.3202634002613567, 0.3155481086137718, 0.30721408479754764, 0.30668990184143097, 0.3116624398405399, 0.3126107630958968, 0.3144311706108142, 0.31364404363371656, 0.31452581306952193, 0.3189321779455717, 0.3208041367072728, 0.3247889047549044, 0.3252487818951968, 0.32155704623588055, 0.3182119726374498, 0.3138895387508464, 0.3115046705284743, 0.31210712915199607, 0.31471191670819, 0.32331728269724486, 0.3257709536658609, 0.3258234407267195, 0.3224439153542339, 0.31728493561164683, 0.3127061698072611, 0.3125168246754877, 0.3115184584593764, 0.3121971393862071, 0.31826211749437616, 0.32250766183617424, 0.32262688855855004, 0.32337394165408345, 0.3209663766571922, 0.32663491540767453, 0.33129306509243256, 0.32845603164781645, 0.3299297829651262, 0.3221435617218622, 0.32272190454355854, 0.31961687593709864, 0.3197430172907898, 0.3230373800785298, 0.3262291158336924, 0.329023701067493, 0.3262270672530836, 0.3247860585240073, 0.32701026608542216, 0.3282709553352037, 0.3282095578038267, 0.3255706756255778, 0.32804976303946537, 0.32761877869005324, 0.32927196335449005, 0.33427408713634543, 0.3318654575774279, 0.3332200600483044, 0.3347716661613437, 0.337088496526614, 0.3399742664487928, 0.34478634059992164, 0.3417041035103139, 0.33950061603744985, 0.33798097678275174, 0.33955984137853157, 0.3412798109833664, 0.3384316018996361, 0.3391694621171898, 0.33606289674721634, 0.3391649258045375, 0.3384163728918692, 0.34023664874418896, 0.33720587380769174, 0.3357781357144685, 0.33534251863611103, 0.33622611025550897, 0.33726753348750965, 0.3415509545583238, 0.3431354967519801, 0.3445543937323443, 0.34301019191231663, 0.34243981054095174, 0.3417737488400886, 0.34166469685223144, 0.34250716320521063, 0.3439788485815862, 0.34593383228224733, 0.3518887712545543, 0.34896782876883436, 0.34894704491292794, 0.3465249220601562, 0.3415774368970185, 0.33902593985259677, 0.3374618654063528, 0.33660490294728906, 0.33899525028655353, 0.33378352332584543, 0.33423345809260574, 0.33184027883493283, 0.3320052247819048, 0.3310222086871991, 0.33097302802203143, 0.3295753789952791, 0.32443320043242047, 0.31540786897008344, 0.3105362829905181, 0.3063542239041257, 0.3059566925396945, 0.30253038532526016, 0.301924111139798, 0.302096384727626, 0.3036878029428324, 0.3029040587336453, 0.2970980838194359, 0.29195012489594485, 0.28765710438109726, 0.2880743703383, 0.2893841775463156, 0.2837709956779489, 0.2820218423974526, 0.27853291139381264, 0.2726425373566925, 0.2713565932207036, 0.2623624211277602, 0.25531370205858445, 0.25039379195797984, 0.23835339188653715, 0.22797197065842764, 0.21418676853047788, 0.18607530551924367, 0.14568882491663765, 0.1659230068845464, 0.19828082567156577, 0.25896213924513284, 0.29414960183565, 0.28678436005094105, 0.2700840036717507, 0.25239011038046477, 0.24249455879383625, 0.23701800969181067, 0.23095314476387013, 0.22572843843090762, 0.22294181373932764, 0.2201965844741942, 0.21867521064300116, 0.21880086204158816, 0.21775287459825227, 0.2144189960259729, 0.21101717238631185, 0.20175919795735295, 0.19724728157331664, 0.1903640693421082, 0.1878489331147146, 0.18541453726361978, 0.1815339361682954, 0.17527411773877516, 0.16912253224833312, 0.16248474456211126, 0.1594299458243849, 0.15282342069700866, 0.14484674006477127, 0.13225401237098078, 0.12068376584066079, 0.11064640703387019, 0.10074348693749785, 0.09317823648634038, 0.08587205359822683, 0.07740932033059357, 0.06978318256491883, 0.06371162095436486, 0.05779809209280619, 0.052496829253006506, 0.046842125633219024, 0.04304155026485518, 0.04037303823309171, 0.038104397766312206, 0.03392299805361746, 0.03289530534208898, 0.02860753309926952, 0.02869055045886179, 0.02674794945694622, 0.026662858190311674, 0.027158399531093107, 0.026768747843001837, 0.026211402696436948, 0.02478217469375371, 0.023500043400360902, 0.05730151683192253, 0.09144168212197179, 0.12981771374146256]"
adanovo,bm-1.0.0,"[8.110892117023951e-06, 0.0050287531125548495, 0.010057506225109699, 0.015078148445547526, 0.020106901558102377, 0.025127543778540203, 0.03015629689109505, 0.03517693911153288, 0.04020569222408773, 0.045226334444525555, 0.050255087557080406, 0.05528384066963525, 0.06030448289007308, 0.06533323600262793, 0.07035387822306576, 0.0753826313356206, 0.08040327355605843, 0.08543202666861328, 0.09045266888905111, 0.09548142200160596, 0.10050206422204379, 0.10553081733459863, 0.11055957044715348, 0.1155802126675913, 0.12060896578014615, 0.12562960800058398, 0.13065836111313883, 0.13567900333357666, 0.1407077564461315, 0.14572839866656934, 0.1507571517791242, 0.15577779399956201, 0.16080654711211687, 0.16583530022467172, 0.17085594244510954, 0.1758846955576644, 0.18090533777810222, 0.18593409089065707, 0.1909547331110949, 0.19598348622364975, 0.20100412844408758, 0.20603288155664243, 0.21106163466919725, 0.21608227688963508, 0.22111103000218993, 0.22613167222262776, 0.2311604253351826, 0.23618106755562043, 0.24120982066817528, 0.2462304628886131, 0.25125921600116796, 0.2562798582216058, 0.26130861133416067, 0.2663373644467155, 0.2713580066671533, 0.27638675977970817, 0.281407402000146, 0.2864361551127008, 0.2914567973331387, 0.2964855504456935, 0.3015061926661313, 0.3065349457786862, 0.31155558799912403, 0.3165843411116789, 0.32161309422423373, 0.32663373644467153, 0.3316624895572264, 0.33668313177766424, 0.3417118848902191, 0.3467325271106569, 0.35176128022321174, 0.3567819224436496, 0.36181067555620444, 0.36683131777664224, 0.3718600708891971, 0.37688882400175194, 0.3819094662221898, 0.38693821933474465, 0.39195886155518245, 0.3969876146677373, 0.40200825688817515, 0.40703701000073, 0.4120576522211678, 0.41708640533372265, 0.4221151584462775, 0.42713580066671536, 0.43216455377927016, 0.437185195999708, 0.44221394911226286, 0.44723459133270066, 0.4522633444452555, 0.45728398666569336, 0.4623127397782482, 0.467333381998686, 0.47236213511124087, 0.4773908882237957, 0.48241153044423357, 0.4874402835567884, 0.4924609257772262, 0.4974896788897811, 0.5025103211102189, 0.5075390742227738, 0.5125597164432116, 0.5175884695557664, 0.5226091117762043, 0.5276378648887591, 0.532666618001314, 0.5376872602217518, 0.5427160133343066, 0.5477366555547445, 0.5527654086672993, 0.5577860508877371, 0.562814804000292, 0.5678354462207298, 0.5728641993332847, 0.5778848415537224, 0.5829135946662773, 0.5879423477788321, 0.59296298999927, 0.5979917431118249, 0.6030123853322626, 0.6080411384448176, 0.6130617806652554, 0.6180905337778102, 0.6231111759982481, 0.6281399291108029, 0.6331686822233578, 0.6381893244437956, 0.6432180775563504, 0.6482387197767883, 0.6532674728893431, 0.6582881151097809, 0.6633168682223358, 0.6683375104427736, 0.6733662635553285, 0.6783869057757663, 0.6834156588883211, 0.688444412000876, 0.6934650542213138, 0.6984938073338687, 0.7035144495543065, 0.7085432026668613, 0.7135638448872992, 0.718592597999854, 0.7236132402202918, 0.7286419933328466, 0.7336626355532845, 0.7386913886658394, 0.7437201417783942, 0.748740783998832, 0.7537695371113868, 0.7587901793318247, 0.7638189324443796, 0.7688395746648173, 0.7738683277773722, 0.7788889699978101, 0.7839177231103649, 0.7889383653308027, 0.7939671184433575, 0.7989958715559125, 0.8040165137763503, 0.8090452668889051, 0.814065909109343, 0.8190946622218978, 0.8241153044423356, 0.8291440575548905, 0.8341646997753283, 0.8391934528878832, 0.844222206000438, 0.8492428482208758, 0.8542716013334307, 0.8592922435538685, 0.8643209966664234, 0.8693416388868611, 0.874370391999416, 0.8793910342198539, 0.8844197873324087, 0.8894404295528465, 0.8944691826654013, 0.8994979357779562, 0.9045185779983941, 0.9095473311109489, 0.9145679733313867, 0.9195967264439415, 0.9246173686643794, 0.9296461217769343, 0.934666763997372, 0.9396955171099269, 0.9447161593303648, 0.9497449124429196, 0.9547736655554745, 0.9597943077759122, 0.9648230608884671, 0.969843703108905, 0.9748724562214598, 0.9798930984418976, 0.9849218515544524, 0.9899424937748903, 0.9949712468874452, 1.0]","[0.36507509670306926, 0.3630701998028213, 0.35768550989158976, 0.3544235011009573, 0.3496745535625786, 0.3453478977967113, 0.34368359051435005, 0.3390758662665712, 0.338990910733694, 0.33358194698677124, 0.3341002515833395, 0.3314547366833136, 0.33007345726612675, 0.32911875051373385, 0.3298269839419717, 0.330410570859311, 0.33106459004629674, 0.3325159119733354, 0.3341801783065048, 0.3339926448409435, 0.33410734213686577, 0.3338670711965896, 0.3362278785471975, 0.33509258457823565, 0.33799668973526553, 0.3398783123853394, 0.3373504464785335, 0.3320850621379401, 0.33415414971218754, 0.3331927193718607, 0.33156997573695485, 0.3316138324919097, 0.3319866554195219, 0.33857640594014243, 0.3384121995807561, 0.33718966928055183, 0.33291707278775795, 0.33237582254667053, 0.3307129040776911, 0.3321497375791933, 0.33383215374585495, 0.3344382923375951, 0.3326655737439311, 0.3360013410593159, 0.3344715517705483, 0.3353471258212169, 0.3351466979248081, 0.34059639626665933, 0.33807853432516694, 0.33648256030554236, 0.33090627835637854, 0.3318843409106566, 0.33556519182617184, 0.33461923213092093, 0.3408344378272057, 0.3363905618156426, 0.33781278547029353, 0.3364196979260625, 0.33473542644684406, 0.33247298818978954, 0.33018996666660794, 0.3298918024259203, 0.32885656499124255, 0.33172996562532536, 0.3342432945353975, 0.3352361685669679, 0.3346628648309936, 0.32922867032549025, 0.32962930435386206, 0.32856665111369293, 0.3286398603965851, 0.3310255155675079, 0.3296139157877247, 0.3275754357889508, 0.32587473997516125, 0.33006848516867027, 0.33098249656460665, 0.3337515402690785, 0.33400064118052086, 0.3288512199548972, 0.32730833229468076, 0.326341282642664, 0.32607071912506413, 0.3276200154205859, 0.3259124194542639, 0.3223809369476285, 0.3173650250731662, 0.3138829895448599, 0.30676720655344875, 0.3090615387644634, 0.3046570522519755, 0.30163139228412783, 0.2969641129491378, 0.29579939035659564, 0.29598865594577783, 0.2928550741070013, 0.2882238491426393, 0.2812524231768141, 0.2801519128577632, 0.2743651311544771, 0.277692397612493, 0.2737225969465561, 0.27073517266123603, 0.26824340185297246, 0.26648331355273525, 0.2647113402290658, 0.2595949900782854, 0.25648320909018196, 0.25148606698589115, 0.250654042075518, 0.24449725918334053, 0.23574809279790754, 0.230589455308592, 0.2295860458070645, 0.22343454513391664, 0.21304494141918362, 0.20344056940740096, 0.19796239198119261, 0.1935331561400249, 0.18727931819528407, 0.1828120519186234, 0.17553146287397287, 0.16631054767374992, 0.15976388701814515, 0.154049135595199, 0.14336631323725413, 0.13051605322298138, 0.1118484897516439, 0.09677344268066995, 0.08030038557052041, 0.11984201919249939, 0.18199582727632496, 0.24884186444358017, 0.2836404327651164, 0.2773898831430749, 0.2654939071564504, 0.26161526994598283, 0.25394951891486267, 0.2533153535009305, 0.24750329703820642, 0.24609301291305874, 0.24429876493107242, 0.23789842457627924, 0.23492815470329026, 0.2310301147991281, 0.22993747163260098, 0.22231304430736798, 0.22140599876564, 0.2172885837965828, 0.21408236857522248, 0.20517113627621267, 0.20322599147195392, 0.20376711209682452, 0.20378319571490022, 0.19960325402383194, 0.1954665615668194, 0.19143972488546673, 0.19194568149420727, 0.189012253281774, 0.18007403463198052, 0.17314765820086403, 0.16584876738364632, 0.1629839475434063, 0.1607084237997263, 0.16168962791162195, 0.15347071669946227, 0.14674477640610661, 0.1395304292403973, 0.1379592344122614, 0.13540139932195666, 0.1295107336595782, 0.12767794299117913, 0.12104580326606033, 0.11713365744623191, 0.12217436064984281, 0.12056785908214801, 0.114021578270228, 0.09809941466033793, 0.08893867244464757, 0.08297387960086083, 0.07742390568799518, 0.07440257493920663, 0.07175810055423436, 0.06836120410218398, 0.06632020959839652, 0.06086005276884118, 0.05743266137971216, 0.05295229972972966, 0.052432142830971494, 0.04915543146313747, 0.047939214279105954, 0.04529814458358313, 0.04282064710970589, 0.04144114079239792, 0.04084123961745985, 0.040399841332344096, 0.03748467017424735, 0.03570580028379372, 0.030845085117529824, 0.031351299021338194]"
biatNovo-DDA,bm-1.0.0,"[8.341118377152009e-06, 0.005029694381422661, 0.01005104764446817, 0.015080742025890832, 0.02010209528893634, 0.025131789670359003, 0.03015314293340451, 0.03518283731482717, 0.04020419057787268, 0.04523388495929534, 0.050255238222340855, 0.05527659148538636, 0.06030628586680902, 0.06532763912985454, 0.0703573335112772, 0.0753786867743227, 0.08040838115574536, 0.08542973441879087, 0.09045942880021353, 0.09548078206325904, 0.10050213532630455, 0.10553182970772722, 0.11055318297077273, 0.11558287735219538, 0.12060423061524089, 0.12563392499666357, 0.13065527825970907, 0.13568497264113172, 0.14070632590417723, 0.14572767916722273, 0.1507573735486454, 0.15577872681169092, 0.16080842119311356, 0.16582977445615907, 0.17085946883758174, 0.17588082210062725, 0.18091051648204992, 0.18593186974509543, 0.19095322300814094, 0.19598291738956358, 0.2010042706526091, 0.20603396503403176, 0.21105531829707727, 0.21608501267849994, 0.22110636594154545, 0.2261360603229681, 0.2311574135860136, 0.23618710796743628, 0.24120846123048179, 0.2462298144935273, 0.25125950887494997, 0.25628086213799545, 0.26131055651941815, 0.2663319097824636, 0.27136160416388627, 0.2763829574269318, 0.28141265180835445, 0.2864340050714, 0.29145535833444547, 0.29648505271586817, 0.30150640597891365, 0.3065361003603363, 0.31155745362338183, 0.3165871480048045, 0.32160850126785, 0.32663819564927266, 0.33165954891231814, 0.33668090217536367, 0.3417105965567863, 0.34673194981983185, 0.3517616442012545, 0.35678299746430003, 0.3618126918457227, 0.36683404510876816, 0.37186373949019086, 0.37688509275323634, 0.3819064460162819, 0.3869361403977045, 0.39195749366075006, 0.3969871880421727, 0.4020085413052182, 0.4070382356866409, 0.41205958894968636, 0.41708928333110906, 0.42211063659415454, 0.4271403309755772, 0.4321616842386227, 0.4371830375016682, 0.4422127318830909, 0.4472340851461364, 0.45226377952755903, 0.45728513279060456, 0.4623148271720272, 0.46733618043507275, 0.4723658748164954, 0.4773872280795409, 0.4824085813425864, 0.48743827572400905, 0.4924596289870546, 0.49748932336847723, 0.5025106766315227, 0.5075403710129455, 0.5125617242759909, 0.5175914186574135, 0.5226127719204591, 0.5276341251835046, 0.5326638195649273, 0.5376851728279728, 0.5427148672093954, 0.547736220472441, 0.5527659148538636, 0.5577872681169092, 0.5628169624983318, 0.5678383157613773, 0.5728596690244228, 0.5778893634058454, 0.5829107166688909, 0.5879404110503136, 0.5929617643133591, 0.5979914586947818, 0.6030128119578273, 0.6080425063392499, 0.6130638596022955, 0.6180935539837181, 0.6231149072467637, 0.6281362605098092, 0.6331659548912318, 0.6381873081542774, 0.6432170025357, 0.6482383557987454, 0.6532680501801682, 0.6582894034432136, 0.6633190978246363, 0.6683404510876818, 0.6733618043507273, 0.67839149873215, 0.6834128519951955, 0.6884425463766182, 0.6934638996396637, 0.6984935940210864, 0.7035149472841319, 0.7085446416655545, 0.7135659949286001, 0.7185873481916455, 0.7236170425730682, 0.7286383958361137, 0.7336680902175363, 0.7386894434805819, 0.7437191378620045, 0.74874049112505, 0.7537701855064727, 0.7587915387695182, 0.7638128920325638, 0.7688425864139864, 0.7738639396770319, 0.7788936340584546, 0.7839149873215001, 0.7889446817029228, 0.7939660349659683, 0.7989957293473909, 0.8040170826104364, 0.8090467769918591, 0.8140681302549045, 0.8190894835179501, 0.8241191778993727, 0.8291405311624183, 0.8341702255438409, 0.8391915788068864, 0.8442212731883091, 0.8492426264513546, 0.8542723208327773, 0.8592936740958228, 0.8643150273588682, 0.869344721740291, 0.8743660750033364, 0.8793957693847592, 0.8844171226478046, 0.8894468170292272, 0.8944681702922728, 0.8994978646736954, 0.904519217936741, 0.9095405711997865, 0.9145702655812091, 0.9195916188442547, 0.9246213132256773, 0.9296426664887228, 0.9346723608701455, 0.939693714133191, 0.9447234085146137, 0.9497447617776591, 0.9547661150407046, 0.9597958094221273, 0.9648171626851728, 0.9698468570665955, 0.974868210329641, 0.9798979047110636, 0.9849192579741092, 0.9899489523555318, 0.9949703056185774, 1.0]","[0.36942886103639827, 0.3610172137984102, 0.35574309949900884, 0.3510614781885312, 0.34780597938183394, 0.34115552156988493, 0.33900154371127994, 0.3360642612820586, 0.33217579932623587, 0.3347070080073971, 0.33584001640809913, 0.3358078990219357, 0.33070298776496043, 0.3315081582024654, 0.32758457675095715, 0.3276554757648536, 0.33186510206292297, 0.3317318392351453, 0.331116112515054, 0.32919554373638676, 0.3304709527266112, 0.3324641330089162, 0.3361565538194479, 0.33529876701423866, 0.33189923392181925, 0.3277049825376959, 0.3259668139208819, 0.33095290347048284, 0.33426149451560994, 0.33227679479345196, 0.3286283180623585, 0.33001423042509404, 0.32726047392062246, 0.32783384805800814, 0.32667284660848317, 0.3279173051906161, 0.32979803149419495, 0.32625796430844345, 0.3265254075565805, 0.32707173289485925, 0.3320072331536945, 0.33016839600603715, 0.3303137773006491, 0.329134314889764, 0.33262077528455236, 0.32867424251425353, 0.330497672971163, 0.32755144443439677, 0.33173043988941026, 0.33124828064494016, 0.3303191910004677, 0.3280442762974256, 0.32755578194597884, 0.3252162873761197, 0.3255774983364536, 0.3234391325414274, 0.32432496738399785, 0.3267625710069052, 0.3337188586683569, 0.33865152096743545, 0.33936580135634387, 0.3368458613602458, 0.3294325903723719, 0.32932519169226715, 0.32286735813410816, 0.32762616865779115, 0.32636801453859765, 0.32707929537865255, 0.32756383322567595, 0.3269886140937551, 0.324801153057789, 0.3252265393840327, 0.3260619790351153, 0.32415685761163426, 0.32340111557526463, 0.3228584487973108, 0.32408293531084653, 0.321881129375585, 0.3159666121497863, 0.3153915297998199, 0.317149774989147, 0.31981396270135887, 0.31914712727488836, 0.3188896029281968, 0.3173658157471225, 0.31633123897687343, 0.31291473519753976, 0.3108254118829667, 0.3108591998947844, 0.30959762549241354, 0.3093058047997914, 0.310029015621247, 0.3076803723686572, 0.30658949482330733, 0.3034279017053358, 0.30171025859460626, 0.29671629056530735, 0.29633015348473923, 0.29769343937108783, 0.29692143312926667, 0.29606246771059275, 0.2927569842789586, 0.2888320941410978, 0.28301396497345316, 0.27945824381453566, 0.27803250300784926, 0.27719980309553477, 0.27540405549887625, 0.2739338868475193, 0.27064192125334074, 0.26601470226892177, 0.2675318519618014, 0.26927901423135736, 0.27189295271852454, 0.26818178892734823, 0.269671590427151, 0.26615192547200456, 0.2649325870680528, 0.2644082293773262, 0.25992459795162837, 0.25498263149613354, 0.25067511933653946, 0.2463989519727253, 0.24835817787631084, 0.24126012533691144, 0.2392132412141521, 0.2348447998684049, 0.23526620235409254, 0.23485054065343566, 0.23663186503621625, 0.23127431032879103, 0.22416427415631765, 0.22299886169565525, 0.22783641825861894, 0.22492005569655782, 0.22171648664131227, 0.21270306470620878, 0.21304244975522382, 0.21129043789555146, 0.21043082479022024, 0.20503857349026144, 0.199143799574116, 0.19447353023717, 0.19368453635037186, 0.19193649626750717, 0.18947047737445913, 0.18553485558163016, 0.1828447335896879, 0.1790760950715062, 0.17588282660471471, 0.1728057671383268, 0.17340608216554687, 0.17237986758509943, 0.17044957529044003, 0.1650753942426812, 0.16256927017886408, 0.15741503046918956, 0.1552513626647921, 0.1530078598797897, 0.14964408597047035, 0.143456514776788, 0.142545820010139, 0.14020529141458285, 0.14006754046049663, 0.13993630346070954, 0.13583776135830916, 0.1305207337724903, 0.12604647999843732, 0.12260446084901785, 0.11791096109159072, 0.11132002524281095, 0.10783886461165412, 0.1041219519798292, 0.10224412342091017, 0.09550682178459456, 0.09110393691727933, 0.08425099793579871, 0.07785513279362706, 0.07062180219412471, 0.06632736787761731, 0.06023365582774222, 0.055326348717973754, 0.05159459398871528, 0.04862956698222966, 0.046160047687907726, 0.0406474457886343, 0.0369696368212505, 0.031330617834378995, 0.028142279223960467, 0.025243452279082097, 0.0225766969075937, 0.02134708882295696, 0.019128325255659967, 0.01801605940962566, 0.017322760863723433, 0.01592289696440236, 0.015563785412557683, 0.015385237087984768, 0.013728465802059858, 0.011551145451249545]"
