algorithm,version,coverage,metric,auc
casanovo,5.0.0,"[9.118263882556761e-05, 0.005106227774231786, 0.010121272909638004, 0.015136318045044223, 0.02015136318045044, 0.02516640831585666, 0.030181453451262878, 0.035196498586669095, 0.04021154372207532, 0.045226588857481535, 0.05033281663171332, 0.05534786176711954, 0.060362906902525756, 0.06537795203793198, 0.07039299717333819, 0.07540804230874441, 0.08042308744415064, 0.08543813257955685, 0.09045317771496307, 0.09555940548919485, 0.10057445062460107, 0.1055894957600073, 0.11060454089541351, 0.11561958603081973, 0.12063463116622596, 0.12564967630163218, 0.1306647214370384, 0.1356797665724446, 0.14069481170785084, 0.14580103948208262, 0.15081608461748883, 0.15583112975289504, 0.16084617488830127, 0.16586122002370748, 0.1708762651591137, 0.17589131029451993, 0.18090635542992614, 0.18592140056533235, 0.19102762833956416, 0.19604267347497037, 0.20105771861037658, 0.20607276374578282, 0.21108780888118903, 0.21610285401659524, 0.22111789915200145, 0.22613294428740768, 0.2311479894228139, 0.2361630345582201, 0.2412692623324519, 0.24628430746785812, 0.25129935260326436, 0.25631439773867054, 0.2613294428740768, 0.266344488009483, 0.2713595331448892, 0.27637457828029544, 0.2813896234157017, 0.2864958511899334, 0.29151089632533966, 0.2965259414607459, 0.3015409865961521, 0.3065560317315583, 0.3115710768669645, 0.31658612200237074, 0.321601167137777, 0.32661621227318316, 0.3316312574085894, 0.3367374851828212, 0.3417525303182274, 0.3467675754536336, 0.35178262058903986, 0.35679766572444604, 0.3618127108598523, 0.3668277559952585, 0.3718428011306647, 0.37685784626607094, 0.38196407404030275, 0.38697911917570893, 0.39199416431111517, 0.3970092094465214, 0.4020242545819276, 0.4070392997173338, 0.41205434485274006, 0.41706938998814624, 0.4220844351235525, 0.4270994802589587, 0.43220570803319047, 0.4372207531685967, 0.4422357983040029, 0.44725084343940913, 0.45226588857481537, 0.45728093371022155, 0.4622959788456278, 0.467311023981034, 0.4723260691164402, 0.477432296890672, 0.48244734202607825, 0.48746238716148443, 0.49247743229689067, 0.4974924774322969, 0.5025075225677031, 0.5075225677031093, 0.5125376128385155, 0.5175526579739218, 0.522567703109328, 0.5276739308835597, 0.532688976018966, 0.5377040211543722, 0.5427190662897784, 0.5477341114251847, 0.5527491565605909, 0.557764201695997, 0.5627792468314033, 0.5677942919668095, 0.5729005197410413, 0.5779155648764476, 0.5829306100118538, 0.5879456551472599, 0.5929607002826662, 0.5979757454180724, 0.6029907905534786, 0.6080058356888849, 0.6130208808242911, 0.6180359259596973, 0.623142153733929, 0.6281571988693353, 0.6331722440047415, 0.6381872891401477, 0.643202334275554, 0.6482173794109601, 0.6532324245463663, 0.6582474696817726, 0.6632625148171788, 0.6683687425914105, 0.6733837877268168, 0.678398832862223, 0.6834138779976292, 0.6884289231330355, 0.6934439682684417, 0.6984590134038479, 0.7034740585392542, 0.7084891036746603, 0.7135041488100665, 0.7186103765842984, 0.7236254217197046, 0.7286404668551107, 0.733655511990517, 0.7386705571259232, 0.7436856022613294, 0.7487006473967357, 0.7537156925321419, 0.7587307376675481, 0.7638369654417799, 0.7688520105771861, 0.7738670557125923, 0.7788821008479986, 0.7838971459834048, 0.788912191118811, 0.7939272362542172, 0.7989422813896234, 0.8039573265250296, 0.8089723716604359, 0.8140785994346676, 0.8190936445700738, 0.8241086897054801, 0.8291237348408863, 0.8341387799762925, 0.8391538251116988, 0.844168870247105, 0.8491839153825111, 0.8541989605179174, 0.8593051882921492, 0.8643202334275554, 0.8693352785629617, 0.8743503236983678, 0.879365368833774, 0.8843804139691803, 0.8893954591045865, 0.8944105042399927, 0.8994255493753989, 0.9044405945108052, 0.9095468222850369, 0.9145618674204431, 0.9195769125558494, 0.9245919576912556, 0.9296070028266618, 0.934622047962068, 0.9396370930974742, 0.9446521382328804, 0.9496671833682867, 0.9547734111425185, 0.9597884562779246, 0.9648035014133309, 0.9698185465487371, 0.9748335916841433, 0.9798486368195496, 0.9848636819549558, 0.989878727090362, 0.9948937722257682, 1.0]","[1.0, 0.9107142857142857, 0.918918918918919, 0.9036144578313253, 0.9230769230769231, 0.9239130434782609, 0.9305135951661632, 0.9300518134715026, 0.9342403628117913, 0.9294354838709677, 0.9329710144927537, 0.9341021416803954, 0.9365558912386707, 0.9386331938633193, 0.9404145077720207, 0.9407496977025392, 0.9444444444444444, 0.9466382070437567, 0.9485887096774194, 0.9494274809160306, 0.9510426110607434, 0.9516407599309153, 0.9530090684253916, 0.9550473186119873, 0.9554043839758125, 0.9557329462989841, 0.9560362875087229, 0.9563172043010753, 0.9572261827608555, 0.9580988117573483, 0.9576783555018138, 0.9578700994733762, 0.9580498866213152, 0.9582188015393073, 0.959445037353255, 0.9606013478486263, 0.9596774193548387, 0.9602746444335458, 0.960381861575179, 0.9595348837209302, 0.9600907029478458, 0.9610619469026549, 0.9598272138228942, 0.960337552742616, 0.9608247422680413, 0.9608870967741936, 0.9617357001972386, 0.9617760617760618, 0.9614512471655329, 0.9614957423176601, 0.9615384615384616, 0.9615795090715048, 0.9623168178646196, 0.9626840123245464, 0.9627016129032258, 0.9630484988452656, 0.9627349319507453, 0.9627625716104392, 0.9630903972474194, 0.9630996309963099, 0.9625037798609011, 0.9625223081499108, 0.9622475856014048, 0.9622695852534562, 0.9625744258576694, 0.9625907314349526, 0.9626065438548254, 0.9631735716219876, 0.9626467449306296, 0.9623981067578228, 0.9626749611197511, 0.962432915921288, 0.9624495967741935, 0.9627143922445935, 0.9627268268759196, 0.9632228405516574, 0.9629983289567916, 0.9630065975494816, 0.963247266806234, 0.9634818557648139, 0.9639374007711499, 0.96415770609319, 0.9641513609205576, 0.9643637953651071, 0.9647872110607043, 0.9647736976942783, 0.9647679324894515, 0.9647549530761209, 0.9649484536082474, 0.964729867482161, 0.9651209677419355, 0.9655034895314057, 0.965483234714004, 0.9656585365853658, 0.9654440154440155, 0.9658135981665393, 0.9657909657909658, 0.966142910587355, 0.9663025365673024, 0.9664589442815249, 0.966612230085284, 0.9665828242903342, 0.9663760896637609, 0.9661733615221987, 0.9664979933693946, 0.9664765854501469, 0.9666210201985621, 0.9664236052229948, 0.9665658602150538, 0.9665390377892459, 0.9663477400197954, 0.9666503187837175, 0.9669475048606611, 0.9670788501686205, 0.9670539551169823, 0.9670242978857684, 0.9671515720319099, 0.9674317617866005, 0.9675534368752883, 0.9676730710582495, 0.9671858460607894, 0.9674565086982604, 0.967425256581883, 0.9675420478017114, 0.9676616915422885, 0.9676295543620265, 0.9675979262672811, 0.9677096728104014, 0.9673943861638786, 0.9666619777746519, 0.9666387493020658, 0.9667543981160825, 0.9667308221061315, 0.9669849931787176, 0.9666892349356805, 0.9665322580645161, 0.9665110073382255, 0.9664900662251655, 0.9664694280078896, 0.9664490861618799, 0.9659105638366818, 0.9658944658944659, 0.9660063897763578, 0.9657403882755995, 0.9657258064516129, 0.9653360030033789, 0.9655729555058414, 0.965806690532033, 0.9656694458067681, 0.9655340397028377, 0.9652794580208082, 0.9651484196610984, 0.9650232780231587, 0.9648956356736242, 0.9642983386355602, 0.9641770077265277, 0.9639409096196347, 0.963823393435044, 0.9638222120133226, 0.9635927870349236, 0.9632528070772371, 0.962917042380523, 0.9627016129032258, 0.9622620505399088, 0.9619384819650365, 0.9615088529638183, 0.9610843900306077, 0.9612083016407693, 0.9610066969107799, 0.9608074734242457, 0.9599701110162254, 0.9596774193548387, 0.9592784048950311, 0.9583595552758548, 0.9581812493482115, 0.9574865201161343, 0.9565934632436334, 0.955915521837195, 0.9553471301865634, 0.9548864557988646, 0.9540276237523944, 0.9527819548872181, 0.9517447657028913, 0.9505205751115519, 0.9491124260355029, 0.9477194703285925, 0.9458536585365853, 0.9439107229500242, 0.9422779922779922, 0.9403744599135861, 0.9383057969630407, 0.9353980619418583, 0.9328985918155184, 0.930518992102294, 0.9276026564399963, 0.9249022892238973, 0.9211184149615776, 0.9179255711127488, 0.9134818073503803, 0.9096380049238625]",0.9576912380168066
adanovo,bm-1.0.0,"[8.979885057471264e-05, 0.005028735632183908, 0.010057471264367816, 0.015086206896551725, 0.020114942528735632, 0.02514367816091954, 0.03017241379310345, 0.035201149425287355, 0.040229885057471264, 0.04525862068965517, 0.05028735632183908, 0.05531609195402299, 0.0603448275862069, 0.0653735632183908, 0.07040229885057471, 0.07543103448275862, 0.08045977011494253, 0.08548850574712644, 0.09051724137931035, 0.09554597701149425, 0.10057471264367816, 0.10560344827586207, 0.11063218390804598, 0.11557112068965517, 0.12059985632183907, 0.12562859195402298, 0.1306573275862069, 0.1356860632183908, 0.14071479885057472, 0.14574353448275862, 0.15077227011494254, 0.15580100574712644, 0.16082974137931033, 0.16585847701149425, 0.17088721264367815, 0.17591594827586207, 0.18094468390804597, 0.1859734195402299, 0.19100215517241378, 0.1960308908045977, 0.2010596264367816, 0.20608836206896552, 0.21111709770114942, 0.21614583333333334, 0.22117456896551724, 0.22611350574712644, 0.23114224137931033, 0.23617097701149425, 0.24119971264367815, 0.24622844827586207, 0.25125718390804597, 0.2562859195402299, 0.2613146551724138, 0.2663433908045977, 0.2713721264367816, 0.2764008620689655, 0.28142959770114945, 0.2864583333333333, 0.29148706896551724, 0.29651580459770116, 0.3015445402298851, 0.30657327586206895, 0.3116020114942529, 0.3166307471264368, 0.32165948275862066, 0.3266882183908046, 0.3317169540229885, 0.3366558908045977, 0.3416846264367816, 0.3467133620689655, 0.35174209770114945, 0.3567708333333333, 0.36179956896551724, 0.36682830459770116, 0.3718570402298851, 0.37688577586206895, 0.3819145114942529, 0.3869432471264368, 0.39197198275862066, 0.3970007183908046, 0.4020294540229885, 0.40705818965517243, 0.4120869252873563, 0.4171156609195402, 0.42214439655172414, 0.42717313218390807, 0.43220186781609193, 0.43723060344827586, 0.4422593390804598, 0.44719827586206895, 0.4522270114942529, 0.4572557471264368, 0.46228448275862066, 0.4673132183908046, 0.4723419540229885, 0.47737068965517243, 0.4823994252873563, 0.4874281609195402, 0.49245689655172414, 0.49748563218390807, 0.5025143678160919, 0.5075431034482759, 0.5125718390804598, 0.5176005747126436, 0.5226293103448276, 0.5276580459770115, 0.5326867816091954, 0.5377155172413793, 0.5427442528735632, 0.5477729885057471, 0.552801724137931, 0.5577406609195402, 0.5627693965517241, 0.5677981321839081, 0.5728268678160919, 0.5778556034482759, 0.5828843390804598, 0.5879130747126436, 0.5929418103448276, 0.5979705459770115, 0.6029992816091954, 0.6080280172413793, 0.6130567528735632, 0.6180854885057471, 0.623114224137931, 0.6281429597701149, 0.6331716954022989, 0.6382004310344828, 0.6432291666666666, 0.6482579022988506, 0.6532866379310345, 0.6583153735632183, 0.6633441091954023, 0.6682830459770115, 0.6733117816091954, 0.6783405172413793, 0.6833692528735632, 0.6883979885057471, 0.693426724137931, 0.6984554597701149, 0.7034841954022989, 0.7085129310344828, 0.7135416666666666, 0.7185704022988506, 0.7235991379310345, 0.7286278735632183, 0.7336566091954023, 0.7386853448275862, 0.7437140804597702, 0.748742816091954, 0.7537715517241379, 0.7588002873563219, 0.7638290229885057, 0.7688577586206896, 0.7738864942528736, 0.7788254310344828, 0.7838541666666666, 0.7888829022988506, 0.7939116379310345, 0.7989403735632183, 0.8039691091954023, 0.8089978448275862, 0.8140265804597702, 0.819055316091954, 0.8240840517241379, 0.8291127873563219, 0.8341415229885057, 0.8391702586206896, 0.8441989942528736, 0.8492277298850575, 0.8542564655172413, 0.8592852011494253, 0.8643139367816092, 0.8693426724137931, 0.874371408045977, 0.8794001436781609, 0.8844288793103449, 0.889367816091954, 0.8943965517241379, 0.8994252873563219, 0.9044540229885057, 0.9094827586206896, 0.9145114942528736, 0.9195402298850575, 0.9245689655172413, 0.9295977011494253, 0.9346264367816092, 0.9396551724137931, 0.944683908045977, 0.9497126436781609, 0.9547413793103449, 0.9597701149425287, 0.9647988505747126, 0.9698275862068966, 0.9748563218390804, 0.9798850574712644, 0.9849137931034483, 0.9899425287356322, 0.9949712643678161, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9988839285714286, 0.9989495798319328, 0.998015873015873, 0.9981203007518797, 0.9973214285714286, 0.9974489795918368, 0.9967532467532467, 0.9968919968919969, 0.9970215934475056, 0.9971408148677627, 0.9972508591065292, 0.9973527465254798, 0.9974473516273133, 0.9975354282193469, 0.9976176295413937, 0.9971181556195965, 0.9972082635399219, 0.9972929074174337, 0.9973725696269049, 0.9964267483409903, 0.9965260545905708, 0.9961371318203767, 0.996238834038552, 0.9958772331653688, 0.995980348369808, 0.996078431372549, 0.9961718417694598, 0.9958454507685917, 0.9955339017458384, 0.9952343129467831, 0.9945609945609946, 0.9946768060836502, 0.9947877885331348, 0.9948942377826404, 0.9949964260185847, 0.9943938332165382, 0.9941580756013746, 0.9902225219150371, 0.9894109861019192, 0.9883040935672515, 0.98851308232291, 0.9877742946708464, 0.9876771410967344, 0.9866747425802543, 0.9865991661703395, 0.986233157586409, 0.9861671469740634, 0.9861032331253545, 0.9849246231155779, 0.9843320505772403, 0.9842988630211154, 0.9834622566017605, 0.9831800262812089, 0.9831649831649831, 0.9828950727597652, 0.9821293732695696, 0.9821295606850335, 0.9804161566707467, 0.9799565322385897, 0.9795091732189659, 0.9793087232541735, 0.9791134834068229, 0.979381443298969, 0.9789640352861344, 0.9787804333258878, 0.9788219722038385, 0.978426672477664, 0.9776103336921421, 0.9778770474367156, 0.9775068320369981, 0.9773530022854768, 0.9765865680837954, 0.9766497461928934, 0.976706827309237, 0.9767672756155679, 0.9768263943440691, 0.9770784770784771, 0.9769408147578785, 0.9768060836501901, 0.9762979683972912, 0.9765450483991065, 0.9754974207811349, 0.974653537563822, 0.973826714801444, 0.9730164403145104, 0.9723991507430998, 0.9724947442186405, 0.9722414989590562, 0.9713058419243986, 0.9697072838665759, 0.9693189480782198, 0.9696058784235136, 0.9679020516214427, 0.9677049180327869, 0.9679987004548408, 0.967799066172919, 0.9674485399712781, 0.9666297643523644, 0.965982128860323, 0.9653457653457653, 0.9651825604683408, 0.9631892469833512, 0.9616840829925791, 0.9602042348701006, 0.9602382725241996, 0.9592379264510412, 0.9576680826131536, 0.9569954961499346, 0.9559014267185474, 0.9546819156540386, 0.9541908949085236, 0.9534261995215985, 0.9516962166689934, 0.9505471671976728, 0.9487285223367697, 0.9481653253307871, 0.9470691755787194, 0.944504165546896, 0.9431848492931448, 0.9425469949695525, 0.9408672798948752, 0.9389512131489695, 0.9366744366744367, 0.934687580354847, 0.9329844268572888, 0.9314321926489227, 0.9295242889504153, 0.928767808047988, 0.9276495408289899, 0.9255607591816614, 0.9231334149326805, 0.9228057379042062, 0.9226032359333495, 0.9215639242024466, 0.9198236835835121, 0.9172781065088758, 0.9147660474958853, 0.9119364634431207, 0.9096077976328615, 0.9071832122679581, 0.9052583342880055, 0.9029026750142288, 0.9002375296912114, 0.8971563448353378, 0.8942253993074947, 0.890997890997891, 0.8882515168229453, 0.8851003179475935, 0.8830772583632995, 0.8803205891909455, 0.8767359242114329, 0.8735152487961477, 0.8703329433039039, 0.8678227767791055, 0.8646063281824872, 0.8612185181314662, 0.8579740259740259, 0.8553868402024585, 0.8513915990551505, 0.848667415500868, 0.8464818763326226, 0.8445072697899838, 0.8417670682730923, 0.8394568690095847, 0.8373709293089754, 0.8351105845181674, 0.8328750981932443, 0.831640625, 0.8297397047397047, 0.8281491499227203, 0.8266717909300538, 0.8247324159021406, 0.8230038022813688, 0.8210098335854765, 0.819319036869827, 0.8173652694610778, 0.814873417721519, 0.8133333333333334, 0.8118091378039793, 0.810392228739003, 0.8090809628008753, 0.806966618287373, 0.8043321299638989, 0.8016343390804598]",0.947089253394493
biatNovo-DDA,bm-1.0.0,"[9.207255317189946e-05, 0.00506399042445447, 0.01012798084890894, 0.015099898720191511, 0.02016388914464598, 0.025135807015928553, 0.030199797440383022, 0.03526378786483749, 0.040235705736120064, 0.04529969616057453, 0.050271614031857106, 0.055335604456311575, 0.06030752232759414, 0.06537151275204861, 0.07043550317650309, 0.07540742104778565, 0.08047141147224013, 0.0854433293435227, 0.09050731976797717, 0.09547923763925974, 0.10054322806371421, 0.10560721848816867, 0.11057913635945124, 0.11564312678390572, 0.12061504465518828, 0.12567903507964276, 0.13065095295092533, 0.1357149433753798, 0.14077893379983428, 0.14575085167111684, 0.1508148420955713, 0.15578675996685387, 0.16085075039130836, 0.16582266826259093, 0.1708866586870454, 0.17595064911149985, 0.18092256698278245, 0.1859865574072369, 0.19095847527851947, 0.19602246570297394, 0.2009943835742565, 0.206058373998711, 0.21112236442316545, 0.21609428229444802, 0.22115827271890248, 0.22613019059018508, 0.23119418101463954, 0.2361660988859221, 0.24123008931037657, 0.24629407973483106, 0.2512659976061136, 0.2563299880305681, 0.26130190590185065, 0.26636589632630514, 0.2713378141975877, 0.27640180462204217, 0.28146579504649666, 0.2864377129177792, 0.2915017033422337, 0.2964736212135162, 0.3015376116379707, 0.3065095295092533, 0.31157351993370774, 0.31663751035816223, 0.3216094282294448, 0.32667341865389926, 0.33164533652518186, 0.3367093269496363, 0.3416812448209189, 0.3467452352453734, 0.3518092256698278, 0.3567811435411104, 0.3618451339655649, 0.36681705183684743, 0.3718810422613019, 0.37685296013258446, 0.38191695055703895, 0.38698094098149344, 0.391952858852776, 0.39701684927723047, 0.401988767148513, 0.4070527575729675, 0.4120246754442501, 0.4170886658687045, 0.422152656293159, 0.4271245741644416, 0.43218856458889604, 0.43716048246017863, 0.44222447288463307, 0.44719639075591566, 0.45226038118037015, 0.4573243716048246, 0.4622962894761072, 0.4673602799005616, 0.4723321977718442, 0.4773961881962987, 0.48236810606758124, 0.4874320964920357, 0.4924960869164902, 0.49746800478777276, 0.5025319952122272, 0.5075039130835098, 0.5125679035079643, 0.5176318939324187, 0.5226038118037013, 0.5276678022281558, 0.5326397200994384, 0.5377037105238929, 0.5426756283951754, 0.5477396188196298, 0.5528036092440843, 0.5577755271153669, 0.5628395175398214, 0.5678114354111039, 0.5728754258355584, 0.577847343706841, 0.5829113341312955, 0.58797532455575, 0.5929472424270325, 0.5980112328514869, 0.6029831507227695, 0.608047141147224, 0.6130190590185066, 0.6180830494429611, 0.6231470398674155, 0.6281189577386981, 0.6331829481631526, 0.6381548660344352, 0.6432188564588897, 0.6481907743301721, 0.6532547647546266, 0.6583187551790811, 0.6632906730503637, 0.6683546634748182, 0.6733265813461007, 0.6783905717705552, 0.6833624896418378, 0.6884264800662923, 0.6934904704907467, 0.6984623883620292, 0.7035263787864837, 0.7084982966577663, 0.7135622870822208, 0.7185342049535034, 0.7235981953779578, 0.7286621858024123, 0.7336341036736949, 0.7386980940981493, 0.7436700119694319, 0.7487340023938864, 0.7537059202651689, 0.7587699106896234, 0.7638339011140779, 0.7688058189853605, 0.773869809409815, 0.7788417272810975, 0.783905717705552, 0.7888776355768345, 0.793941626001289, 0.7990056164257435, 0.803977534297026, 0.8090415247214805, 0.8140134425927631, 0.8190774330172176, 0.8240493508885002, 0.8291133413129546, 0.834177331737409, 0.8391492496086916, 0.8442132400331461, 0.8491851579044287, 0.8542491483288832, 0.8592210662001657, 0.8642850566246202, 0.8693490470490747, 0.8743209649203573, 0.8793849553448118, 0.8843568732160942, 0.8894208636405487, 0.8943927815118313, 0.8994567719362858, 0.9045207623607403, 0.9094926802320228, 0.9145566706564773, 0.9195285885277599, 0.9245925789522144, 0.929564496823497, 0.9346284872479513, 0.9396924776724058, 0.9446643955436884, 0.9497283859681429, 0.9547003038394255, 0.95976429426388, 0.9647362121351625, 0.969800202559617, 0.9748641929840715, 0.979836110855354, 0.9849001012798085, 0.989872019151091, 0.9949360095755455, 1.0]","[1.0, 1.0, 1.0, 1.0, 0.9954337899543378, 0.9963369963369964, 0.9969512195121951, 0.9973890339425587, 0.9977116704805492, 0.9959349593495935, 0.9963369963369964, 0.9950083194675541, 0.9938931297709923, 0.9929577464788732, 0.9921568627450981, 0.9926739926739927, 0.9931350114416476, 0.9935344827586207, 0.9938962360122076, 0.9942140790742526, 0.9945054945054945, 0.993897122929381, 0.9941715237302248, 0.9936305732484076, 0.9923664122137404, 0.9926739926739927, 0.992952783650458, 0.9932157394843962, 0.9934597776324395, 0.9936828806064435, 0.9938949938949939, 0.9929078014184397, 0.9919862621637092, 0.991671293725708, 0.9919181034482759, 0.9916274201988488, 0.989821882951654, 0.9886138613861386, 0.9874638379942141, 0.9873179896665101, 0.9871736142922584, 0.9857015192135835, 0.9856083733100741, 0.9855134213890072, 0.9858451290591174, 0.9849348534201955, 0.9848665870171247, 0.9840155945419103, 0.983587786259542, 0.983177570093458, 0.9835104433858556, 0.9834770114942529, 0.9827343199436223, 0.9830625648116142, 0.9830335934848999, 0.9830113257828115, 0.9833169774288518, 0.9836065573770492, 0.9829437776373974, 0.9829192546583851, 0.9825954198473282, 0.9825773505557225, 0.982565011820331, 0.9816807211398663, 0.9813913541368451, 0.9813979706877114, 0.9813992226540811, 0.9816789718348373, 0.9811371597952034, 0.9811471056824217, 0.9808950536508767, 0.9811612903225806, 0.9801526717557252, 0.9799196787148594, 0.9796979450359, 0.9792328365502077, 0.9787849566055931, 0.9790625743516536, 0.9788583509513742, 0.9784322820037106, 0.978240952817224, 0.9778330694413029, 0.9776536312849162, 0.9772626931567329, 0.9773173391494002, 0.9767191205001078, 0.9769919045590115, 0.9766217354675653, 0.9762648344784509, 0.9754992793905704, 0.9751628664495114, 0.9746325749949668, 0.9747062338179645, 0.9743892828999212, 0.9738791423001949, 0.973963355834137, 0.9734682191257874, 0.9733660748016623, 0.9725182277061133, 0.9722376457523598, 0.9719677537559546, 0.9718795355587808, 0.9716184659601221, 0.9704731412308787, 0.9698731501057083, 0.9691153376374105, 0.9685393258426966, 0.9679794520547945, 0.9679334916864608, 0.967725668179526, 0.9671885409726849, 0.9669858038956751, 0.9654833960412236, 0.9651370196205611, 0.9646415943426551, 0.9644678138942001, 0.9641446848839046, 0.9639837143751957, 0.9638198757763975, 0.9633564280215551, 0.962437013284471, 0.9616898849182314, 0.9610994292580355, 0.9609712498137941, 0.95951536643026, 0.9586631486367634, 0.9584120982986768, 0.9578704371663541, 0.9572001145147437, 0.9565340909090909, 0.955461592670895, 0.9545454545454546, 0.9541921154913937, 0.953437112549938, 0.9528237385477916, 0.9516829533116178, 0.9512260846133118, 0.9495787080379832, 0.9487519915029209, 0.948062219878724, 0.9469964664310954, 0.9467186484730344, 0.9456774193548387, 0.9443874935930292, 0.943758747932307, 0.9427596664139499, 0.9416415662650602, 0.9409198554156799, 0.9393339111056085, 0.9372848007870143, 0.9361104324456389, 0.9349593495934959, 0.9334619093539055, 0.9310179640718563, 0.9295657346817371, 0.9284785435630689, 0.9267089499647639, 0.9250700280112045, 0.9235764815029572, 0.921410463240378, 0.9197205680256527, 0.9174917491749175, 0.9155072955548015, 0.9138938848920863, 0.912290502793296, 0.9101610216546363, 0.9082781456953642, 0.9061882817643186, 0.9046788090304286, 0.9027431421446384, 0.9003017891787023, 0.8983069009858551, 0.8956002982848621, 0.8928193179411141, 0.889743049705139, 0.8859805255994136, 0.8836022904737116, 0.8809523809523809, 0.8783199505867819, 0.8755246186917801, 0.8727605863192183, 0.8695079975703583, 0.8666062619550992, 0.8626214078301793, 0.8591913961362279, 0.8561806656101426, 0.8532164318786326, 0.8500881834215167, 0.8469785575048733, 0.8438196800775569, 0.8401967402835374, 0.8365310821181888, 0.832601641534644, 0.8292983955188455, 0.8262183604080091, 0.8225897387709077, 0.818734224548939, 0.8151799832573714, 0.8114010734776975, 0.8078445815302459]",0.9529380454765324
